ASN-source,ASN,Name,Type,Bandwidth,Gb/s,Connectivity Type
AS4652,AS45265,CSL-IX,NIX,50,Gbps,IPv6 Dual Stack
AS4652,AS38081,TIG-IX,NIX,10,Gbps,IPv4
AS4652,AS45667,TCCT-IX,NIX,1,Gbps,IPv6 Dual Stack
AS4652,AS45642,Jastel-IX,NIX,20,Gbps,IPv4
AS4652,AS45458,AWN-IX,NIX,30,Gbps,IPv4
AS4652,AS132280,Symphony-ISP,ISP-Local,10,Gbps,IPv6 Dual Stack
AS4652,AS9931,CAT-ISP,ISP-Local,450,Gbps,IPv6 Dual Stack
AS4652,AS4618,INET,ISP-Local,31,Gbps,IPv4
AS4652,AS4765,Pacific Internet,ISP-Local,11,Gbps,IPv4
AS4652,AS7616,Ji-NET,ISP-Local,1,Gbps,IPv4
AS4652,AS4741,SAMART Infonet,ISP-Local,3,Gbps,IPv6 Dual Stack
AS4652,AS45758,Triple T Internet/ Triple T Broadband,ISP-Local,70,Gbps,IPv6 Dual Stack
AS4652,AS24187,KIRZ,ISP-Local,10,Gbps,IPv4
AS4652,AS23932,OTARO,ISP-Local,10,Gbps,IPv4
AS4652,AS7654,ISSP,ISP-Local,10,Gbps,IPv4
AS4652,AS24299,ISSP,ISP-Local,10,Gbps,IPv4
AS4652,AS23884,PROEN Internet,ISP-Local,202,Gbps,IPv4
AS4652,AS7470,True Internet Corporation,ISP-Local,100,Gbps,IPv4
AS4652,AS4637,Telstra,ISP-Local,1,Gbps,IPv4
AS4652,AS7693,KSC,ISP-Local,2,Gbps,IPv6 Dual Stack
AS4652,AS23969,TOT ISP,ISP-Local,40,Gbps,IPv6 Dual Stack
AS4652,AS38794,UIH/ BEENET,ISP-Local,50,Gbps,IPv6 Dual Stack
AS4652,AS38888,MILCOM,ISP-Local,0.1,Gbps,IPv4
AS4652,AS45142,Loxley,ISP-Local,0.25,Gbps,IPv4
AS4652,AS45328,NIPA.CLOUD,ISP-Local,20,Gbps,IPv6 Dual Stack
AS4652,AS45606,101 Global,ISP-Local,1,Gbps,IPv4
AS4652,AS38566,NTT (TH),ISP-Local,1,Gbps,IPv6 Dual Stack
AS4652,AS131293,TOT LLI,ISP-Local,3,Gbps,IPv4
AS4652,AS131090,CAT ON Net,ISP-Local,100,Gbps,IPv4
AS4652,AS45413,ServeNET,ISP-Local,2,Gbps,IPv4
AS4652,AS5639,SIAMDATA,ISP-Local,30,Gbps,IPv4
AS4652,AS17887,TCCT-ISP,ISP-Local,1,Gbps,IPv6 Dual Stack
AS4652,AS59238,INOX,ISP-Local,10,Gbps,IPv4
AS4652,AS4621,UniNet,ISP-Govt,40,Gbps,IPv4
AS4652,AS38328,ICT MOF,ISP-Govt,0.8,Gbps,IPv4
AS4652,AS56067,Metrabyte,ISP-Local,10,Gbps,IPv4
AS4652,AS134509,1-TO-ALL,ISP-Local,1,Gbps,IPv4
AS45265,AS45642,JasTel-IX,NIX,40,Gbps,IPv6 Dual Stack
AS45265,AS45458,AWN-IX (SBN),NIX,140,Gbps,IPv6 Dual Stack
AS45265,AS38081,TIG-IX (TRUE),NIX,160,Gbps,IPv6 Dual Stack
AS45265,AS37930,TOT-IX,NIX,20,Gbps,IPv6 Dual Stack
AS45265,AS4652,CAT-IX (Bangrak/Nonthaburi),NIX,50,Gbps,IPv6 Dual Stack
AS45265,AS45667,TCCT-IX,NIX,10,Gbps,IPv6 Dual Stack
AS45265,AS45788,BB Connect-IX (UIH/BEENET),NIX,1,Gbps,IPv4
AS45265,AS63529,BKNIX,NIX,10,Gbps,Peering/ IPv6 Native
AS45265,AS133543,DTAC-IX,NIX,40,Gbps,IPv6 Dual Stack
AS45265,AS4750,CS Loxinfo,ISP-Local,130,Gbps,IPv6 Dual Stack
