ASN-source,ASN,Name,Type,Bandwidth,Gb/s,Connectivity Type
AS38566,AS2914,NTT (SG),ISP-Inter,0.35,Gbps,Transit/IPv6 Dual Stack
AS4651,AS45758,Triple T Internet/ Triple T Broadband,ISP-Local,0.5,Gbps,IPv4
AS4651,AS38450,GIN,ISP-Govt,1,Gbps,IPv4
AS4651,AS18013,B Network Solution (BNS),ISP-Local,0.01,Gbps,IPv4
AS4651,AS9931,CAT-ISP,ISP-Local,200,Gbps,IPv4
AS4651,AS131090,CAT ON Net,ISP-Local,210,Gbps,IPv4
AS4651,AS4618,INET,ISP-Local,1.8,Gbps,IPv4
AS4651,AS24187,KIRZ,ISP-Local,0.72,Gbps,IPv4
AS4651,AS56067,Metrabyte,ISP-Local,0.101,Gbps,IPv4
AS4651,AS38888,MILCOM,ISP-Local,0.6,Gbps,IPv4
AS4651,AS45328,NIPA.CLOUD,ISP-Local,0.1,Gbps,IPv6 Dual Stack
AS4651,AS38566,NTT (TH),ISP-Local,0.38,Gbps,IPv6 Dual Stack
AS4651,AS4765,Pacific Internet,ISP-Local,0.5,Gbps,Peering
AS4651,AS23884,PROEN Internet,ISP-Local,1.05,Gbps,IPv6 Dual Stack
AS4651,AS45413,ServeNET,ISP-Local,0.03,Gbps,IPv4
AS4651,AS5639,SIAMDATA,ISP-Local,0.2,Gbps,IPv4
AS4651,AS23969,TOT ISP,ISP-Local,40,Gbps,IPv4
AS4651,AS131293 ,TOT LLI,ISP-Local,10,Gbps,IPv4
AS4651,AS7470,True Internet Corporation,ISP-Local,140,Gbps,IPv4
AS4651,AS38794,UIH/ BEENET,ISP-Local,0.7,Gbps,IPv6 Dual Stack
AS4651,AS38328,ICT MOF,ISP-Govt,0.23,Gbps,IPv4
AS4651,AS4621,UniNet,ISP-Govt,100,Gbps,IPv4
AS4651,AS1200,AMS-IX (AN),ISP-Inter,9,Gbps,Peering
AS4651,AS19996,Any2Coresite (US),ISP-Inter,10,Gbps,Peering
AS4651,AS59360,BBIX (HK),ISP-Inter,10,Gbps,Peering
